Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GeneID SAS1009		-	14227.05	0.356	0.980088	0.980088	2795
Staphylococcus aureus GeneID SASa0114		-	14113.07	0.35300000000000004	0.975391	0.975391	2747
Staphylococcus aureus GENE set 1670 Branch		-	13517.03	0.338	1	0.588785	112
Staphylococcus aureus GeneID SAS1008		-	13389.88	0.335	0.922686	0.926876	4734
Staphylococcus aureus GENE ic 1660 Branch		-	13324.63	0.333	0.764151	0.868085	325
Staphylococcus aureus GENE cap 1463 Branch		-	13120.18	0.328	1	0.900489	477
Staphylococcus aureus GeneID SASa1133		-	13113.52	0.328	0.873016	0.873016	2622
Staphylococcus aureus GENE aur		-	12817.85	0.321	0.858218	0.858218	4123
Staphylococcus aureus GENE qacC		-	12673.26	0.317	0.993151	0.993151	972
Staphylococcus aureus GeneID SAS1730		-	12559.48	0.314	1	1	1274
Staphylococcus aureus GENE cap5M		-	12107.62	0.303	0.647917	0.754647	2198
Staphylococcus aureus GeneID SASa0648		-	11772.84	0.294	0.982942	0.982942	2153
Staphylococcus aureus GENE 1591 Branch		-	11650.93	0.291	0.529851	0.615054	439
Staphylococcus aureus GeneID SASa0647		-	11284.9	0.28200000000000003	0.995215	0.995215	1820
Staphylococcus aureus GeneID SASd0697		-	11223.61	0.281	0.993007	0.993007	1358
Staphylococcus aureus GeneID SASa0125		-	10743.87	0.269	1	1	1185
Staphylococcus aureus GeneID SASa2284		-	10668.63	0.267	0.88914	0.88914	1911
Staphylococcus aureus GeneID SAS1013		-	10352.08	0.259	0.939024	0.939024	1638
Staphylococcus aureus GENE hys 1513 Branch		-	10311.75	0.258	0.429851	0.488402	2141
Staphylococcus aureus GENE cap 1472 Branch		-	10117.58	0.253	1	1	38
Staphylococcus aureus GENE hlb		-	10040.3	0.251	0.636047	0.636047	3727
Staphylococcus aureus GENE sdrE		-	9925.24	0.248	0.427803	0.49539	10386
Staphylococcus aureus GENE sspB2		-	9824.5	0.246	0.685246	0.793988	717
Staphylococcus aureus GENE cap 1665 Branch		-	9823.65	0.246	0.430556	0.717842	1222
Staphylococcus lentus GENE repL		-	9833.93	0.246	0.699074	0.699074	1143
Staphylococcus aureus GENE esaC		-	9712.39	0.243	0.809009	0.809009	2118
Staphylococcus aureus GENE cap 1469 Branch		-	9537.95	0.23900000000000002	0.735043	0.735043	2313
Staphylococcus aureus GENE cap5J		-	9401.62	0.23500000000000001	0.637244	0.638978	3634
Staphylococcus aureus GeneID SASa0736		-	9134.78	0.22799999999999998	0.906077	0.906077	1672
Staphylococcus aureus GENE spa		-	9017.09	0.22499999999999998	0.530476	0.54245	9648
Staphylococcus aureus GENE cap5H		-	8903.24	0.22300000000000003	0.788018	0.788018	1561
Staphylococcus aureus GI 33390939		-	8771.75	0.219	0.52381	0.52381	312
Staphylococcus aureus GENE nuc		-	8441.74	0.211	0.657113	0.657113	3026
Staphylococcus aureus GENE cap5K		-	8094.75	0.202	0.597436	0.599153	3641
Staphylococcus aureus GeneID SASa0734		-	8057.83	0.202	0.850679	0.850679	1225
Staphylococcus aureus GENE 1458 Branch		-	8048.92	0.201	0.782143	0.782143	628
Staphylococcus aureus GENE esxB		-	7940.39	0.199	0.708661	0.708661	951
Staphylococcus aureus GENE cap5I		-	7546.4	0.189	0.605505	0.605505	2791
Staphylococcus aureus GENE sdrH		-	7394.66	0.185	0.697531	0.697531	1724
Staphylococcus aureus GENE icaA		-	7048.09	0.17600000000000002	0.409239	0.412298	4720
Staphylococcus aureus GeneID SASa0733		-	6963.11	0.174	0.790885	0.790885	897
Staphylococcus aureus GeneID SAS1014		-	6822.74	0.17099999999999999	0.862857	0.862857	724
Enterococcus faecium GI 21886745		-	6743.56	0.169	0.529412	0.81672	17
Staphylococcus aureus GENE 1503 Branch		-	6670.17	0.167	0.479899	0.479899	533
Staphylococcus aureus GENE isdD		-	6644.41	0.166	0.706186	0.706186	1287
Staphylococcus aureus GENE sspC		-	6533.85	0.163	0.522124	0.522124	1103
Staphylococcus aureus GENE scn		-	6322.68	0.158	0.829146	0.829146	457
Staphylococcus aureus GENE hlgA		-	6178.57	0.155	0.572473	0.564857	1656
Staphylococcus aureus GeneID SAS1015		-	6200.02	0.155	0.839744	0.839744	370
Staphylococcus aureus GENE icaD		-	5991.04	0.15	0.578358	0.59058	761
Staphylococcus aureus GeneID SAS1010		-	5677.8	0.14200000000000002	0.795699	0.795699	471
Staphylococcus aureus GENE SEntM		-	5571.99	0.13899999999999998	1	0.612795	73
Staphylococcus aureus GI 33390947		-	5526.67	0.13799999999999998	0.903226	0.903226	103
Staphylococcus aureus GENE essA		-	5443.86	0.136	0.490566	0.490566	945
Staphylococcus aureus GENE set6		-	5408.2	0.135	0.405263	0.484163	366
Staphylococcus aureus GENE esxA		-	5395.07	0.135	0.811321	0.811321	292
Staphylococcus aureus GENE sak		-	5232.08	0.131	0.599424	0.599424	695
Staphylococcus aureus GENE ebpS		-	4738.2	0.11800000000000001	0.402758	0.402758	3322
Staphylococcus aureus GENE traD		-	4083.51	0.10200000000000001	0.52069	0.52069	457
Staphylococcus aureus GENE eap		-	3909.04	0.098	0.430823	0.430823	839
Staphylococcus aureus GENE icaR		-	3894.96	0.097	0.40754	0.40754	871
Staphylococcus lentus GENE pre		-	3477.67	0.087	0.521298	0.521298	426
Staphylococcus aureus GENE cap1A		-	3410.26	0.08499999999999999	0.525	0.519578	29
Streptococcus pyogenes GI 52345271		-	3194.49	0.08	0.505747	0.505747	210
Staphylococcus aureus GENE esaB		-	2948.9	0.074	0.470046	0.470046	224
Staphylococcus aureus GENE traL		-	2885.39	0.07200000000000001	0.48394	0.48394	280
Staphylococcus aureus GI 33390945		-	2747.6	0.06899999999999999	0.681818	0.681818	45
Staphylococcus aureus GENE traG		-	2733.47	0.068	0.467967	0.467967	233
Staphylococcus aureus GENE SEntN		-	2575.03	0.064	0.412903	0.412903	303
