Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bradyrhizobium sp002532045 GCA_002532045.1	142585	GCA_002532045.1	Bacteria	0.14	0.033436	0.009418	19125	5564
Hammondia hammondi	99158	GCA_000258005.2	Protists	0.1	0.02113	0.06127	7298	3974
s__Bradyrhizobium elkanii	29448		Bacteria	0.1	0.035784	0.008788	13547	3974
s__Bradyrhizobium pachyrhizi	280333		Bacteria	0.1	0.025085	0.005769	15718	3974
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.1	0.23881	0.216802	3050	3974
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	0.09	0.215677	0.18174	2765	3577
s__Bradyrhizobium septentrionale GCA_000426785.1	172088	GCA_000426785.1	Bacteria	0.09	0.02432	0.006171	14525	3577
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	Bacteria	0.09	0.152157	0.12248	1826	3577
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.08	0.206005	0.172464	2752	3179
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.07	0.084671	0.057129	3662	2782
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.06	0.006194	0.006156	4029	2384
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.06	0.062365	0.03712	2533	2384
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.06	0.077259	0.044206	2200	2384
s__Finegoldia magna GCA_009678265.1	2584653	GCA_009678265.1	Bacteria	0.06	0.056314	0.020527	1701	2384
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.05	0.0781	0.065739	1857	1987
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.04	0.055848	0.021275	1355	1590
s__Comamonas tsuruhatensis GCA_000710145.1	1537702	GCA_000710145.1	Bacteria	0.04	0.073952	0.013295	4840	1590
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.04	0.052627	0.051399	3163	1590
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	0.03	0.063098	0.032202	821	1192
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.03	0.048129	0.013192	1236	1192
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.03	0.036752	0.02371	1496	1192
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.03	0.053213	0.027616	1213	1192
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	Bacteria	0.03	0.014087	0.01292	3137	1192
s__Bradyrhizobium ivorense	2511166		Bacteria	0.03	0.005001	0.004824	4647	1192
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	Bacteria	0.03	0.064645	0.046285	1044	1192
s__Veillonella parvula_A GCA_901876955.1	29466	GCA_901876955.1	Bacteria	0.03	0.041582	0.033871	1029	1192
s__Meiothermus_B silvanus GCA_000092125.1	526227	GCA_000092125.1	Bacteria	0.03	0.018155	0.018327	1415	1192
Acanthamoeba palestinensis	28015	GCA_000826325.1	Protists	0.02	0.005051	0.002471	1977	795
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.02	0.028821	0.015447	918	795
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.02	0.023001	0.014559	613	795
s__Lawsonella clevelandensis	1528099		Bacteria	0.02	0.016625	0.016625	581	795
s__Cutibacterium avidum	33010		Bacteria	0.02	0.028331	0.015825	926	795
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	Bacteria	0.02	0.026861	0.02682	541	795
s__Porphyromonas_A sp001808555 GCA_001808555.1	1739394	GCA_001808555.1	Bacteria	0.02	0.037137	0.035355	823	795
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	Bacteria	0.02	0.017774	0.017054	1646	795
Tuber microsphaerosporum	1455713	GCA_003521225.1	Fungi	0.01	0.001517	0.001411	951	397
s__Staphylococcus epidermidis	1282		Bacteria	0.01	0.023423	0.023449	309	397
s__Dermabacter hominis	36740		Bacteria	0.01	0.012634	0.012655	386	397
s__Slackia exigua	84109		Bacteria	0.01	0.019918	0.019909	489	397
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.01	0.023175	0.012568	774	397
s__Bradyrhizobium japonicum_C GCA_000426845.1	1304878	GCA_000426845.1	Bacteria	0.01	0.018888	0.02994	1247	397
s__Bradyrhizobium sp000938305	722472		Bacteria	0.01	0.00513	0.004797	1499	397
s__Afipia sp001425835 GCA_001425835.1	1736436	GCA_001425835.1	Bacteria	0.01	0.025871	0.01939	608	397
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	Bacteria	0.01	0.017348	0.016312	1183	397
g__Phyllobacterium	28100		Bacteria	0.01	0.041667	0.041667	591	397
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.01	0.05091	0.014687	332	397
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.01	0.031638	0.014318	332	397
s__Anaerococcus vaginimassiliensis GCA_900626155.1	2042308	GCA_900626155.1	Bacteria	0.01	0.024566	0.018338	257	397
s__Mogibacterium timidum	35519		Bacteria	0.01	0.012233	0.012233	206	397
