Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Streptococcus_u_s	1301	178.64	0.017	34
Kallipyga massiliensis	1472764	177.91	0.017	2151
Dialister micraerophilus	309120	177.15	0.017	1513
Anaerococcus pacaensis	1465826	165.06	0.016	101
Pseudomonas stutzeri	316	162.01	0.016	3839
Dermabacter_u_s	36739	145.49	0.013999999999999999	1130
Coriobacteriaceae bacterium BV3Ac1	1111135	146.09	0.013999999999999999	2431
Aerococcus urinae	1376	143.05	0.013999999999999999	2285
Enterococcus faecalis	1351	147.24	0.013999999999999999	15
Brevibacterium casei	33889	131.5	0.013	3077
Actinotignum schaalii	59505	133.23	0.013	2513
Actinotignum urinale	190146	139.25	0.013	3013
Aerococcus viridans	1377	131.55	0.013	167
Peptoniphilus lacrimalis	33031	134.58	0.013	1172
Anaerococcus lactolyticus	33032	137.83	0.013	1474
Christensenella_u_s	990721	125.87	0.012	404
Lactobacillus delbrueckii	1584	119.46	0.011000000000000001	390
Proteus mirabilis	584	112.35	0.011000000000000001	120
Rothia dentocariosa	2047	104.67	0.01	821
Brachybacterium muris	219301	98.89	0.01	2318
Pseudonocardia sp. P2	882856	100.46	0.01	5047
Staphylococcus warneri	1292	107.65	0.01	559
Anaerococcus hydrogenalis	33029	98.95	0.01	1401
Acidipropionibacterium acidipropionici	1748	97.41	0.009000000000000001	2990
Staphylococcus pettenkoferi	170573	93.61	0.009000000000000001	2274
Lactobacillus reuteri	1598	97.47	0.009000000000000001	48
Peptoniphilus sp. BV3AC2	1111133	95.94	0.009000000000000001	2002
Peptoniphilus obesi	1472765	89.2	0.009000000000000001	2260
Pseudomonas aeruginosa	287	98.37	0.009000000000000001	254
Klebsiella_u_s	570	88.4	0.009000000000000001	276
Ochrobactrum_u_s	528	92.64	0.009000000000000001	26
Porphyromonas asaccharolytica	28123	96.06	0.009000000000000001	800
Empedobacter_u_s	59734	91.06	0.009000000000000001	71
Acidipropionibacterium_u_s	1912215	80.86	0.008	600
Corynebacterium singulare	161899	78.43	0.008	2647
Dietzia_u_s	37914	86.52	0.008	17
Mobiluncus curtisii	2051	86.57	0.008	60
Staphylococcus xylosus	1288	86.11	0.008	568
Staphylococcus lugdunensis	28035	79.05	0.008	531
Peptoniphilus duerdenii	507750	86.11	0.008	1786
Anaerococcus senegalensis	1288120	88.1	0.008	1780
Corynebacterium freneyi	134034	76.9	0.006999999999999999	1816
Paracoccus sanguinis	1545044	76.37	0.006999999999999999	242
