Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GeneID SASa1133		-	8421.64	0.329	0.800454	0.800454	1418
Staphylococcus aureus GENE nuc		-	8206.3	0.32	0.629512	0.629512	2995
Staphylococcus aureus GENE cap5A		-	8143.33	0.318	1	0.690979	241
Staphylococcus aureus GENE capP		-	7934.54	0.31	0.43299	0.637113	949
Staphylococcus aureus GENE cap8L		-	7822.98	0.305	0.838095	0.721271	794
Staphylococcus aureus GeneID SASa0114		-	7364.34	0.28700000000000003	0.469799	0.469799	1709
Enterococcus faec 751 Branch		-	6693.52	0.261	0.683824	0.683824	150
Staphylococcus aureus GENE esxA		-	6325.53	0.247	0.91195	0.91195	344
Staphylococcus aureus GENE icaA		-	6254.11	0.244	0.434613	0.43754	3817
Staphylococcus aureus GeneID SAS1014		-	6008.3	0.23500000000000001	0.814286	0.814286	592
Staphylococcus aureus GeneID SAS1730		-	5897.44	0.22999999999999998	0.70283	0.70283	515
Staphylococcus aureus GeneID SAS1008		-	5639.28	0.22	0.456765	0.45679	2304
Staphylococcus aureus GENE cap5J		-	5516.38	0.215	0.5662	0.56443	1664
Staphylococcus aureus GENE cap5K		-	5283.37	0.20600000000000002	0.54359	0.542373	1889
Staphylococcus aureus GENE icaC		-	5178.59	0.202	0.502024	0.508757	890
Staphylococcus aureus GENE isdD		-	5095.71	0.199	0.508591	0.508591	1145
Staphylococcus aureus GENE sspB		-	4917.06	0.192	0.407186	0.531679	1208
Staphylococcus aureus GENE hlgA		-	4906.2	0.191	0.54933	0.450199	1808
Staphylococcus aureus GeneID SAS1015		-	4896.86	0.191	0.826923	0.826923	217
Staphylococcus aureus GENE sspC		-	4802.01	0.187	0.525074	0.525074	679
Staphylococcus aureus GENE eap		-	4721.71	0.184	0.514886	0.514886	969
Staphylococcus aureus GENE sdrH		-	4660.92	0.182	0.459877	0.459877	1174
Staphylococcus aureus GENE icaR		-	4587.46	0.179	0.533214	0.533214	860
Staphylococcus aureus GeneID SASa0125		-	4108.9	0.16	0.420455	0.420455	541
Staphylococcus aureus GENE cap1A		-	3387.29	0.132	0.525	0.552711	21
Staphylococcus aureus GENE icaD		-	3265.87	0.127	0.432836	0.449275	337
Staphylococcus aureus GI 33390958		-	3153.84	0.123	0.514388	0.514388	251
Staphylococcus aureus GENE hld		-	3073.71	0.12	0.567568	0.567568	102
Staphylococcus aureus GENE esaB		-	2993.65	0.117	0.400922	0.400922	292
Staphylococcus aureus GI 33390940		-	2423.43	0.095	0.404255	0.404255	255
Staphylococcus aureus GENE artA		-	1485.82	0.058	0.41791	0.41791	28
